Cargo,Nome da Empresa,Local,Link para a Vaga
Desenvolvedor(a) Backend Python,Omie,,https://br.indeed.com/rc/clk?jk=4d10354e1ee3bb13&bb=mZK-QcBu9ibVf6SIO2rWCqbc5gLt0zaAyXjpPircLBk6kAAVqZGKbgXsdrAj1cXvzyrbN_xkKx0Njz9Dcq-MpC93LY0Xv-Nw7LBnv1AEhaN0-zwFuFrFbA%3D%3D&xkcb=SoA767M3CTYXfDWNnx0KbzkdCdPP&fccid=8c41bce32884422c&vjs=3
Analista Desenvolvedor Python (Home office),Accenture,"Home office in Rio de Janeiro, RJ",https://br.indeed.com/rc/clk?jk=3155433d86a87b1e&bb=mZK-QcBu9ibVf6SIO2rWChG_GZwTkwZQ51o1i7JPd1gwe1H6zo8ecTGH3GJk5BVkkX9gzQkqgRT3cWc_NHac-FfL4hxKDR97gA7QJqqg_zk%3D&xkcb=SoCm67M3CTYXfDWNnx0JbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
Pessoa desenvolvedora python - pleno (remoto) - 27658 - 6801515,Netvagas,,https://br.indeed.com/rc/clk?jk=8035f4f45861c4e6&bb=mZK-QcBu9ibVf6SIO2rWCngS8CDDM_5BI8Sc9l_BtIDdn9tnY9MqrQ_bTzM_Ir5V1s_-_H69aZW5pX3atwMXAb6wjjME4C2UKOZGcE8m0-dufo0eEaXdaA%3D%3D&xkcb=SoAS67M3CTYXfDWNnx0IbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedor(a) Back End Python/React - Remoto,Sankhya Gestão de Negócios,,https://br.indeed.com/rc/clk?jk=5ae6342d10201e1b&bb=mZK-QcBu9ibVf6SIO2rWChBU0p6WAu48XAXlLZt5UmZdblx2qopLPsLFzDnGJD1ELZnBdJ9H6MpGQ2oVUDfYvysMV4lo69np4rxazlnQ02CDdbeaCfNV8w%3D%3D&xkcb=SoCc67M3CTYXfDWNnx0PbzkdCdPP&fccid=cb41a10e2720341c&vjs=3
Engenheiro(a) de Dados Python + Kafka,Lyncas,,https://br.indeed.com/rc/clk?jk=53252086518f7696&bb=mZK-QcBu9ibVf6SIO2rWCv_Ny_HZFPNh_KgxLMzc1PyfomItvb-qoQbq2ZZclTycZDcuUaXkacdQq9zwqpyP246hDalNxStfyQqNdoyf79OI-_GVEG6VrQ%3D%3D&xkcb=SoAo67M3CTYXfDWNnx0ObzkdCdPP&fccid=82f309eedbe51e8b&vjs=3
Software Engineer Python,SoftDesign,,https://br.indeed.com/rc/clk?jk=b6e8365e3f5228a1&bb=mZK-QcBu9ibVf6SIO2rWCtrwU38x8ZgZyYEfc7DQz2ik8AJT8yzjVDs5ZkQICYN4OW0YnHINO2ve37fPLPukGJqJ_qCYPjAQzmLKTRMRjbtqSw02Q2RgHQ%3D%3D&xkcb=SoC167M3CTYXfDWNnx0NbzkdCdPP&fccid=e0bd18409a778cec&vjs=3
Desenvolvedor(a) Web Python,Pecege,,https://br.indeed.com/rc/clk?jk=83944203a6adfc9b&bb=mZK-QcBu9ibVf6SIO2rWCsqNIIBgXCX0wEECrfE9HrOaSpJW5qA2s7GBh_slrIuHyYJMXiZI5BZLb0skbvwp6TFgQILzJmIyRXKaPJJOTNRawBlmLwhLyA%3D%3D&xkcb=SoAB67M3CTYXfDWNnx0MbzkdCdPP&fccid=d3c55a1033ec9b60&vjs=3
Desenvolvedor Python Júnior,ADVICE HEALTH,"Florianópolis, SC",https://br.indeed.com/rc/clk?jk=f2fa768c28af756a&bb=mZK-QcBu9ibVf6SIO2rWCrFS7RYaktccj4aCs_3XfE7ViqGZJ-mO7EbUCOIuIYKVumAZhJGcwQVRmNJMoAPWe1GMroMuJRuoPamdkY5a7Rp1fcK5LUYYXg%3D%3D&xkcb=SoDo67M3CTYXfDWNnx0DbzkdCdPP&fccid=cfa0f084b5b682a9&vjs=3
Pessoa Desenvolvedora Python Júnior,BT Créditos,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=2162bf9e91c3f9e8&bb=mZK-QcBu9ibVf6SIO2rWCgdiBz4ZcfirNKcEdH8Eg-i4VTX-iWBN7ZyG5jZfXr3ITkaTV5jWTZZ_lOo4SghnlxmxByhsinKekumoZe6T4_2OngoNzOIMaw%3D%3D&xkcb=SoBc67M3CTYXfDWNnx0CbzkdCdPP&fccid=30acf9622d9c2ff7&vjs=3
Desenvolvedor Python Backend - Pleno,GrupoGBI,,https://br.indeed.com/rc/clk?jk=6a3307823fe72054&bb=mZK-QcBu9ibVf6SIO2rWCvr1asflitXsrALNyfjuG8GRl_PgH-a4SSwFnM9qR9pyRG6o1FNhno7dCUPLZ-f88YjrQ2i8380MUbAoYtS6Ulom1avsPcqekA%3D%3D&xkcb=SoDB67M3CTYXfDWNnx0BbzkdCdPP&fccid=5ae38860b0e9fb51&vjs=3
Dev Python Sr - Segmento Financeiro,DB,,https://br.indeed.com/rc/clk?jk=8c891647c6524cca&bb=mZK-QcBu9ibVf6SIO2rWCi_OyVI5ILkQ_8oVWfubTTXwhKjsjMniZY4uU-WhVC4EnKEBH556u0FDFiqEKAawFXziC-C8WiuQ-JaaSI6ZVKPLmCoKIU1dXw%3D%3D&xkcb=SoB167M3CTYXfDWNnx0AbzkdCdPP&fccid=98832d38444d971b&vjs=3
Mid Backend Developer - Python - (100% Remoto),invillia,,https://br.indeed.com/rc/clk?jk=e7fe34b49231a615&bb=mZK-QcBu9ibVf6SIO2rWCgx6eBjwnpz5wDVTosI3GHRf2rdSpiYzm23P6gY_lOQtx7p9BWwQoyOD5-TFgrvUs4ZkehDQLdfszP9WsR9LxVsOsW6odppTiQ%3D%3D&xkcb=SoD767M3CTYXfDWNnx0HbzkdCdPP&fccid=f185a6210cec2dc0&vjs=3
Pessoa Desenvolvedora de Software Sênior - Python,Tecnologia Grupo Casas Bahia,,https://br.indeed.com/rc/clk?jk=7d5d064a905e9e57&bb=mZK-QcBu9ibVf6SIO2rWCk2g4kGpuD96oWT2q3h_ag48y6JCsNzR1fdPzBLOYkvw4Si5M51D1HawcpuvcZZx7RMFzw-Hl6J5ivPEy6lp4K6s9WBP3WTVfg%3D%3D&xkcb=SoBP67M3CTYXfDWNnx0GbzkdCdPP&fccid=dbf8ce7150c5cc50&vjs=3
Desenvolvedor Python,Capitani Group,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=499903bf02630012&bb=mZK-QcBu9ibVf6SIO2rWClww3ZXpZF8VWzbKQC82darke-tuoEjQ7oNuD0MVeSJSQrMOGWBDm0BumT3cCOmm1l-yDZ5dLBje5gVag2FrHA4086IAXBNE9w%3D%3D&xkcb=SoDS67M3CTYXfDWNnx0FbzkdCdPP&fccid=b350fbb7cca4cfef&vjs=3
Desenvolvedora/Engenheira Python - Trabalho Remoto,BairesDev,"Home office in São Gonçalo, RJ",https://br.indeed.com/rc/clk?jk=c878a6d486fcccc2&bb=mZK-QcBu9ibVf6SIO2rWCl5lHOtmj_5AoV0KkXYcw4EqmgvlnKBjMZyOaOyStPJNmn4hg2q_DkSCr1wPoFUrtJ-wp99IGVXl1H4le-TxfI20p-jnMNYjKQ%3D%3D&xkcb=SoBm67M3CTYXfDWNnx0EbzkdCdPP&fccid=29707109e86166e5&vjs=3
Programador Python,Curriculum.com.br,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=0b1d315ce0af623f&bb=-sSQs6OBuwINoeHZyRm9v9gjypp42n-_cKfSjV4SYHHKIM4M7eyBkR_KqRIqUwwh1snW6wq9iYqobf6Bp5bRO36zi83qVJfrGU5YCIbLSOk%3D&xkcb=SoBp67M3CTYW83QtiB0KbzkdCdPP&fccid=22d7ce555383096d&vjs=3
Python Developer / 100% Remote / USD payment / English...,Bloom Talent Partners,"Home office in Lauro de Freitas, BA",https://br.indeed.com/rc/clk?jk=89bb4a6997baa6f5&bb=-sSQs6OBuwINoeHZyRm9v_x-cb_EcaNijr-Fxw8P85R9R2zNiFT5P0RDxiAsnZBS9yyKT1xgTPQmxLs6UIeMNSsvoeZYzz9KXkq19H2RHq_aTlHi1Ud7aQ%3D%3D&xkcb=SoD067M3CTYW83QtiB0JbzkdCdPP&fccid=f5a8fac000367732&vjs=3
Desenvolvedora/Engenheira Python - Trabalho Remoto,BairesDev,"Home office in São Gonçalo, RJ",https://br.indeed.com/rc/clk?jk=c878a6d486fcccc2&bb=-sSQs6OBuwINoeHZyRm9vwgbvPX33wHnhAlQD01AMRs6m7FQ_OBpp3IpPuV3Vwtnbs5wkbaqO2HJ3YXGFdAsWFUZGdjFxF5mctv65tujpR00TdjzJ83gog%3D%3D&xkcb=SoBA67M3CTYW83QtiB0IbzkdCdPP&fccid=29707109e86166e5&vjs=3
Senior Software Engineer - Python,Seedz,,https://br.indeed.com/rc/clk?jk=0bfc11ff08f5dffc&bb=-sSQs6OBuwINoeHZyRm9vxj-5bfJdm7A_ogQNDM6abrMP9le5OYEqsNYRv0GeKtmP4ZDc87EQLmoEWDt4_SnYt1LB7hwa7mE16dMi9GnM4slGQb1GdgTDA%3D%3D&xkcb=SoDO67M3CTYW83QtiB0PbzkdCdPP&fccid=ea45409212384433&vjs=3
Software engineer - python,Netvagas,,https://br.indeed.com/rc/clk?jk=2b67943cd7aaba44&bb=-sSQs6OBuwINoeHZyRm9v0PbXBtlfBpm47L7iz74Ht1tUgqEOLXmQ2pUQmo6GAOVDTLfXYzs7QtHl4Mp0zUZTesaxIzuXcFgdtv-Q57c8i22fA1zhBLxQA%3D%3D&xkcb=SoB667M3CTYW83QtiB0ObzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Work From Home Python Engineer,BairesDev,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=5904f7462374749f&bb=-sSQs6OBuwINoeHZyRm9v5dfSli3du7GQLRh_2pymWYAsUri-2Fnu5sfQ5SwLfRZiQNbwx7VaGg8IPJgKtf11Y4CxC-aKVM7xoFM5a_uOaUxgHHE1ILPLg%3D%3D&xkcb=SoDn67M3CTYW83QtiB0NbzkdCdPP&fccid=29707109e86166e5&vjs=3
Desenvolvedor Back End Python,Source2IT,"Home office in Barueri, SP",https://br.indeed.com/rc/clk?jk=661e437e8c7c6c31&bb=-sSQs6OBuwINoeHZyRm9vzWokIYV1YB-NWJZFTFm5YLExN2fkOn4RqL9knHYsrMfEUNuUfIkkTvCFs-c2Gr__KD7gCMA4GaRE3U7_F3HB7hWkyXSA2QJfw%3D%3D&xkcb=SoBT67M3CTYW83QtiB0MbzkdCdPP&fccid=ada84a54e84462f5&vjs=3
Pessoa Desenvolvedora de Software Sênior - Python,Tecnologia Grupo Casas Bahia,,https://br.indeed.com/rc/clk?jk=7d5d064a905e9e57&bb=-sSQs6OBuwINoeHZyRm9v9zAoUPdZqexKrqafRzua6KKxHtOrQoLW8BQR6uYjJkN54f2n4G9-XNnwxcpHV1NyB7-dDPxeNcs1K7I1hfkKlSD2xXLk9OL-w%3D%3D&xkcb=SoC667M3CTYW83QtiB0DbzkdCdPP&fccid=dbf8ce7150c5cc50&vjs=3
Dev. Backend Python Sênior (remoto),Plus-IT Consulting,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=514c5dda391b128f&bb=-sSQs6OBuwINoeHZyRm9vxdN0ihUrEp66W9SbXbFk_uQVsdsiYZGtIcfdZ-45TMPSPike_9y5blbu04ABFIPjcyAaFsqLUpK3SnRpRP7DL3GDSw3Ep4WBA%3D%3D&xkcb=SoAO67M3CTYW83QtiB0CbzkdCdPP&fccid=18029a0d1b99cbb7&vjs=3
Pessoa Desenvolvedora Full Stack Pleno (Python) +IA Generativa,Mutant,,https://br.indeed.com/rc/clk?jk=0f22d899aba9aca7&bb=-sSQs6OBuwINoeHZyRm9v9wwIByC1fMmDmPyAxGnHDOs92re77coUvOXz5SmrAR41EyhOpGQB7wk9EHqqGi2AD1AC27B0TQQ0YoFfLoovJOhgXAFHBtMfw%3D%3D&xkcb=SoCT67M3CTYW83QtiB0BbzkdCdPP&fccid=22c551d6141563cd&vjs=3
Senior software engineer - python,Netvagas,,https://br.indeed.com/rc/clk?jk=ca09c37eda74cf5f&bb=-sSQs6OBuwINoeHZyRm9v0MhHBzvHSYSoKmpEFj-Qqv8HN02vHTV-WKTFUou7AtgGBLS8xAX_eYtUjZEy3gbEhBNb1W9wfIBOaX3zpp821rSArH9Ohgnrw%3D%3D&xkcb=SoAn67M3CTYW83QtiB0AbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Analista Desenvolvedor Pleno - Ênfase em Python e Webscraping,Geopixel,,https://br.indeed.com/rc/clk?jk=0a37d17e33e68c27&bb=-sSQs6OBuwINoeHZyRm9v5cj-Ot8iXRWDozHYUS18i3-x3AVKdkkH4ZfTBHMiENO7sjAgfl9gbS0ZVtxouXi624K8qqCnwGhwfQG15YgPrRFuW8pnm3rnA%3D%3D&xkcb=SoCp67M3CTYW83QtiB0HbzkdCdPP&fccid=d1bd150dcf454946&vjs=3
Pessoa engenheira de software sr - python,Netvagas,,https://br.indeed.com/rc/clk?jk=76532c25d8b283a4&bb=-sSQs6OBuwINoeHZyRm9v81s9gDkLzffyDh0HLtRaCvXx9QVwZDegEyFaFJRSWbOs5CBWrI46Evffno-cb_oa_WnuSWlnpopHTLzLm1KIkivj9F0XkbanA%3D%3D&xkcb=SoAd67M3CTYW83QtiB0GbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedor Backend - Python/Django,Seazone,,https://br.indeed.com/rc/clk?jk=871369645f996d5f&bb=-sSQs6OBuwINoeHZyRm9v4AoRuVwts1mNm_Xf2uAfD7VXyxk6Vo1PJ4_uiO5YBrlZDbrv8v63WiZj62WDpUpMC7m-TYTJbcbpLhtabdqsgBKpP-QcqKFPA%3D%3D&xkcb=SoCA67M3CTYW83QtiB0FbzkdCdPP&fccid=e326532d41ab2aca&vjs=3
Pessoa Desenvolvedora Python - Trabalho Remoto,BairesDev,"Home office in São Gonçalo, RJ",https://br.indeed.com/rc/clk?jk=55740f590bea48f1&bb=-sSQs6OBuwINoeHZyRm9v7TfL0aJwMUSmLAyXW-h4GxkFKVGihe17SsaJAxVBdXwLCf2jtUOlPj5y8cvsApfLTZ5mKmCHAoxIvjuB8xIIXfx_PWmntd0dQ%3D%3D&xkcb=SoA067M3CTYW83QtiB0EbzkdCdPP&fccid=29707109e86166e5&vjs=3
Desenvolvedor Python | Sede Regional Sicredi Campos Gerais | Ponta Grossa - PR,Sicredi,"Ponta Grossa, PR",https://br.indeed.com/rc/clk?jk=f0efc286a21e6dbb&bb=SG8Hnz7Zv-bCtveFtlKW_zgV82EI49D4NLHyOg4iyIefYxNgCY8p7Y36l-mRSoWXzOKNJKLFUs5zQzRkY5N8MPCB03x9I0SjDj4_FeoCJdnK9bkN8Zemww%3D%3D&xkcb=SoCs67M3CTYWcgWbXh0LbzkdCdPP&fccid=0bedb393cb03c383&vjs=3
Analista de Desenvolvimento,Netvagas,,https://br.indeed.com/rc/clk?jk=cfd61656731c3a24&bb=SG8Hnz7Zv-bCtveFtlKW_3snOxpXBSRTdjmh-IQAII-8F-m-jTZjstPXSqCmuzeSTgdf2x75KYGKxJWvPuvVwWnTSikDnmAlkqnpv4iirmg5JBchiafM0w%3D%3D&xkcb=SoAY67M3CTYWcgWbXh0KbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Python Developer / 100% Remote / USD payment / English...,Bloom Talent Partners,"Home office in Lauro de Freitas, BA",https://br.indeed.com/rc/clk?jk=89bb4a6997baa6f5&bb=SG8Hnz7Zv-bCtveFtlKW_6QTohdhddHtrrkut4QP8ZWaviFap3jFjCUJLp3lapRh_67Tkr09iXhKBbmj2_XQ06L99Vn49S1h8044k6n9vbr1YLqUuo7Ocw%3D%3D&xkcb=SoCF67M3CTYWcgWbXh0JbzkdCdPP&fccid=f5a8fac000367732&vjs=3
Senior software engineer - python,Netvagas,,https://br.indeed.com/rc/clk?jk=ca09c37eda74cf5f&bb=SG8Hnz7Zv-bCtveFtlKW_9flO3UQ3Tq2MxFr8XiX5xwI9IJzG5GEq8NhqnyIqEjWr64_7Bug-S7rP29KZLN3H0OnT0KIhlNF_BliPAGMGTLXmdn1e7eIiQ%3D%3D&xkcb=SoAx67M3CTYWcgWbXh0IbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedor Backend - Python/Django,Seazone,,https://br.indeed.com/rc/clk?jk=871369645f996d5f&bb=SG8Hnz7Zv-bCtveFtlKW_xFOOn1Hb90LPc-RVDJRtxnXNwJ5vw2q_EL8GPw8PO6jXl3FYZ39Z3qCOQRtk3QWsbsdyUlSJ1f9vHaU_Qb7fptubo-9ZkDYZA%3D%3D&xkcb=SoC_67M3CTYWcgWbXh0PbzkdCdPP&fccid=e326532d41ab2aca&vjs=3
Estagiário(a) de Data Science,Sólides Tecnologia,"Belo Horizonte, MG",https://br.indeed.com/rc/clk?jk=5b5f6be716bc2180&bb=SG8Hnz7Zv-bCtveFtlKW_9YfBPQlaOvQZlNWK3xsvP9w8gnriGEUiLr7__zLhOaByhb_8BvfPXP_AJC3t136aj5fcNW8QDpnqp9AD2Cg1DUwUzOdqkm8OA%3D%3D&xkcb=SoAL67M3CTYWcgWbXh0ObzkdCdPP&fccid=032fce7e3b667a59&vjs=3
Pessoa Desenvolvedora Python - Trabalho Remoto,BairesDev,"Home office in São Gonçalo, RJ",https://br.indeed.com/rc/clk?jk=55740f590bea48f1&bb=SG8Hnz7Zv-bCtveFtlKW_2LBbzXKdiZduVGwKmWjO1A4luFaa7fOwmy6gDtwPm2geOq0CxcTTrt4DFXtBNdRD3T91VjemsRyAMrTWhZw8IkfDz5bTWlMcw%3D%3D&xkcb=SoCW67M3CTYWcgWbXh0NbzkdCdPP&fccid=29707109e86166e5&vjs=3
Cientista de Dados,OnSet Tecnologia Ltda.,,https://br.indeed.com/rc/clk?jk=334194cf8d9a7cae&bb=SG8Hnz7Zv-bCtveFtlKW_3YSj0MtG2JUdJSr0-q0upnZrv8ve-8UBhO0o6z3utbJLQhqIBwRDZXMuxfATw3MGvUJ257JhD9YskuQBtCxVlZZrZYI09qFwg%3D%3D&xkcb=SoAi67M3CTYWcgWbXh0MbzkdCdPP&fccid=65b235be55845a41&vjs=3
Sr Backend Developer - Python - (100% Remoto),invillia,,https://br.indeed.com/rc/clk?jk=e5f1fd1be11df687&bb=SG8Hnz7Zv-bCtveFtlKW_yF2cN29ytSwsHjIbqsj5hYK_UR8lEB4IPDCcZMnLsC3enfFpFQI758VLKgF7S6UZ31TGzix1UvLCwTYTfa_h2k1TV1UGDIgOg%3D%3D&xkcb=SoDL67M3CTYWcgWbXh0DbzkdCdPP&fccid=f185a6210cec2dc0&vjs=3
Desenvolvedor Sales Force,Agile inc,,https://br.indeed.com/rc/clk?jk=44117ae2360dc4d5&bb=SG8Hnz7Zv-bCtveFtlKW_wpW0TOKIWok6nI6NRKTl_yc0cfenZnxi-FjMgN2_k-IQHXB6SG6YD93y8YIClXWWtGAcb8Y7Mu0ryyIsYSBNoz1e5hTpN9row%3D%3D&xkcb=SoB_67M3CTYWcgWbXh0CbzkdCdPP&fccid=4c07629539760b0e&vjs=3
